Order ID,Product ID,Sales,Quantity,Discount,Profit
CA-2016-152156,FUR-BO-10001798,261.96,2,0.0,41.9136
CA-2016-152156,FUR-CH-10000454,731.94,3,0.0,219.582
CA-2016-138688,OFF-LA-10000240,14.62,2,0.0,6.8714
US-2015-108966,FUR-TA-10000577,957.5775,5,0.45,-383.031
US-2015-108966,OFF-ST-10000760,22.368,2,0.2,2.5164
CA-2014-115812,FUR-FU-10001487,48.86,7,0.0,14.1694
CA-2014-115812,OFF-AR-10002833,7.28,4,0.0,1.9656
CA-2014-115812,TEC-PH-10002275,907.152,6,0.2,90.7152
CA-2014-115812,OFF-BI-10003910,18.504,3,0.2,5.7825
CA-2014-115812,OFF-AP-10002892,114.9,5,0.0,34.47
CA-2014-115812,FUR-TA-10001539,1706.184,9,0.2,85.3092
CA-2014-115812,TEC-PH-10002033,911.424,4,0.2,68.3568
CA-2017-114412,OFF-PA-10002365,15.552,3,0.2,5.4432
CA-2016-161389,OFF-BI-10003656,407.976,3,0.2,132.5922
US-2015-118983,OFF-AP-10002311,68.81,5,0.8,-123.858
US-2015-118983,OFF-BI-10000756,2.544,3,0.8,-3.816
CA-2014-105893,OFF-ST-10004186,665.88,6,0.0,13.3176
CA-2014-167164,OFF-ST-10000107,55.5,2,0.0,9.99
CA-2014-143336,OFF-AR-10003056,8.56,2,0.0,2.4824
CA-2014-143336,TEC-PH-10001949,213.48,3,0.2,16.011
CA-2014-143336,OFF-BI-10002215,22.72,4,0.2,7.384
CA-2016-137330,OFF-AR-10000246,19.46,7,0.0,5.0596
CA-2016-137330,OFF-AP-10001492,60.34,7,0.0,15.6884
US-2017-156909,FUR-CH-10002774,71.372,2,0.3,-1.0196
CA-2015-106320,FUR-TA-10000577,1044.63,3,0.0,240.2649
CA-2016-121755,OFF-BI-10001634,11.648,2,0.2,4.2224
CA-2016-121755,TEC-AC-10003027,90.57,3,0.0,11.7741
US-2015-150630,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
US-2015-150630,OFF-BI-10000474,9.618,2,0.7,-7.0532
US-2015-150630,FUR-FU-10004978,124.2,3,0.2,15.525
US-2015-150630,OFF-EN-10001509,3.264,2,0.2,1.1016
US-2015-150630,OFF-AR-10004042,86.304,6,0.2,9.7092
US-2015-150630,OFF-BI-10001525,6.858,6,0.7,-5.715
US-2015-150630,OFF-AR-10001683,15.76,2,0.2,3.546
CA-2017-107727,OFF-PA-10000249,29.472,3,0.2,9.9468
CA-2016-117590,TEC-PH-10004977,1097.544,7,0.2,123.4737
CA-2016-117590,FUR-FU-10003664,190.92,5,0.6,-147.963
CA-2015-117415,OFF-EN-10002986,113.328,9,0.2,35.415
CA-2015-117415,FUR-BO-10002545,532.3992,3,0.32,-46.9764
CA-2015-117415,FUR-CH-10004218,212.058,3,0.3,-15.147
CA-2015-117415,TEC-PH-10000486,371.168,4,0.2,41.7564
CA-2017-120999,TEC-PH-10004093,147.168,4,0.2,16.5564
CA-2016-101343,OFF-ST-10003479,77.88,2,0.0,3.894
CA-2017-139619,OFF-ST-10003282,95.616,2,0.2,9.5616
CA-2016-118255,TEC-AC-10000171,45.98,2,0.0,19.7714
CA-2016-118255,OFF-BI-10003291,17.46,2,0.0,8.2062
CA-2014-146703,OFF-ST-10001713,211.96,4,0.0,8.4784
CA-2016-169194,TEC-AC-10002167,45.0,3,0.0,4.95
CA-2016-169194,TEC-PH-10003988,21.8,2,0.0,6.104
CA-2015-115742,OFF-BI-10004410,38.22,6,0.0,17.9634
CA-2015-115742,OFF-LA-10002762,75.18,6,0.0,35.3346
CA-2015-115742,FUR-FU-10001706,6.16,2,0.0,2.9568
CA-2015-115742,FUR-CH-10003061,89.99,1,0.0,17.0981
CA-2016-105816,OFF-FA-10000304,15.26,7,0.0,6.2566
CA-2016-105816,TEC-PH-10002447,1029.95,5,0.0,298.6855
CA-2016-111682,OFF-ST-10000604,208.56,6,0.0,52.14
CA-2016-111682,OFF-PA-10001569,32.4,5,0.0,15.552
CA-2016-111682,FUR-CH-10003968,319.41,5,0.1,7.098
CA-2016-111682,OFF-PA-10000587,14.56,2,0.0,6.9888
